title,artist,bpm,camelotKey,durationSeconds,energy,filePath,actual_bpm,bpm_confidence,actual_key,key_confidence,camelot,tempo_family,energy_score,energy_level,rms_mean,rms_peak,dynamic_range,onset_density,transient_density,spectral_centroid,spectral_rolloff,zero_crossing_rate,brightness,density,sample_rate,channels,beats_detected,analysis_version
Getreide-phunk,DJ Koze,123.05,5A,389.88,0.6836,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/56. DJ Koze - Getreide-phunk.mp3,123.05,1.0,C minor,0.181,5A,mid,68.36,4,0.188014,0.587844,0.587835,592.667,2.1852,2610.532,5122.452,0.057787,0.1184,1.0,44100,2,185,0618B_v1.0.0
Polar Shift (Original Mix),Trentemøller,126.05,2A,507.84,0.4801,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/57. Trentemøller - Polar Shift (Original Mix).mp3,126.05,1.0,D# minor,0.028,2A,dance,48.01,3,0.143327,0.3671,0.366045,364.0,1.650637,1067.552,1766.723,0.010914,0.0484,1.0,44100,2,189,0618B_v1.0.0
There's Galaxies Better (Melchior Productions Ltd. Spacelab Mix),Bruno Pronsato,126.05,3B,530.284,0.5911,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/58. Bruno Pronsato - There's Galaxies Better (Melchior Productions Ltd. Spacelab Mix).mp3,126.05,0.994,C# major,0.169,3B,dance,59.11,3,0.187808,0.613156,0.613156,322.0,2.085891,2346.103,4722.716,0.049866,0.1064,1.0,44100,2,188,0618B_v1.0.0
Return of the Zombie Bikers,Mathew Jonson,129.2,1A,612.311,0.5245,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/59. Mathew Jonson - Return of the Zombie Bikers.mp3,129.2,1.0,G# minor,0.025,1A,dance,52.45,3,0.146371,0.502174,0.502166,316.667,1.84918,3018.014,5700.266,0.052811,0.1369,1.0,44100,2,194,0618B_v1.0.0
What The ..?,Losoul,126.05,11B,178.783,0.5732,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/60. Losoul - What The ...mp3,126.05,1.0,A major,0.301,11B,dance,57.32,3,0.112789,0.561633,0.561633,547.333,1.64078,2810.362,5947.828,0.06214,0.1275,1.0,44100,2,189,0618B_v1.0.0
Feel Me,Willow,123.05,6A,430.029,0.4202,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/61. Willow - Feel Me.mp3,123.05,0.471,G minor,0.288,6A,mid,42.02,3,0.139868,0.610282,0.610273,224.667,1.109169,2347.748,4414.887,0.060322,0.1065,0.7489,44100,2,87,0618B_v1.0.0
Eftive,DeWalta,124.53,3A,514.979,0.5463,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/62. DeWalta - Eftive.mp3,124.53,0.498,A# minor,0.194,3A,dance,54.63,3,0.156449,0.571288,0.571249,388.0,1.702354,1221.602,2264.722,0.015063,0.0554,1.0,44100,2,93,0618B_v1.0.0
Synkro,Luomo,120.19,5A,839.106,0.4195,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/63. Luomo - Synkro.mp3,120.19,0.982,C minor,0.547,5A,mid,41.95,3,0.161182,0.371752,0.371752,256.0,1.393785,2158.597,4474.431,0.031149,0.0979,0.8533,44100,2,177,0618B_v1.0.0
Mistakes (Housey Housey Version),Matthew Herbert,120.19,5A,323.815,0.5656,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/64. Matthew Herbert - Mistakes (Housey Housey Version).mp3,120.19,0.505,C minor,0.143,5A,mid,56.56,3,0.173944,0.637172,0.635802,360.667,1.75101,1986.266,4309.907,0.023128,0.0901,1.0,44100,2,91,0618B_v1.0.0
Battlestar Galacticlown (Original Mix),Akufen,126.05,9A,362.665,0.6614,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/65. Akufen - Battlestar Galacticlown (Original Mix).mp3,126.05,0.989,E minor,0.115,9A,dance,66.14,4,0.179262,0.734532,0.734522,450.667,2.100008,3110.947,6054.186,0.079214,0.1411,1.0,44100,2,187,0618B_v1.0.0
Bergwein,Efdemin,123.05,11A,467.149,0.4972,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/66. Efdemin - Bergwein.mp3,123.05,0.991,F# minor,0.237,11A,mid,49.72,3,0.196794,0.610059,0.610048,253.333,1.304686,3129.324,6571.474,0.038244,0.1419,0.8444,44100,2,183,0618B_v1.0.0
