title,artist,bpm,camelotKey,durationSeconds,energy,filePath,actual_bpm,bpm_confidence,actual_key,key_confidence,camelot,tempo_family,energy_score,energy_level,rms_mean,rms_peak,dynamic_range,onset_density,transient_density,spectral_centroid,spectral_rolloff,zero_crossing_rate,brightness,density,sample_rate,channels,beats_detected,analysis_version
Held Noise s01,Unknown Artist,127.84,1A,121.72,0.4421,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Micro-glitch/Held Noise s01.wav,127.84,1.0,G# minor,0.22,1A,dance,44.21,3,0.098457,0.345175,0.345146,384.0,1.137198,1694.301,3468.456,0.022619,0.0706,1.0,48000,2,192,0618B_v1.0.0
Held Noise,Unknown Artist,82.72,9B,142.24,0.3751,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Micro-glitch/Held Noise.wav,82.72,1.0,G major,0.375,9B,low_mid,37.51,2,0.095658,0.386573,0.386556,315.333,1.096674,1422.967,2945.795,0.019489,0.0593,1.0,48000,2,244,0618B_v1.0.0
Listening After Closing s01,Unknown Artist,106.13,2B,150.76,0.345,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Micro-glitch/Listening After Closing s01.wav,106.13,0.672,F# major,0.016,2B,mid,34.5,2,0.112455,0.320784,0.320467,242.667,0.844397,675.092,756.494,0.010186,0.0281,0.8089,48000,2,107,0618B_v1.0.0
Listening After Closing,Unknown Artist,117.19,4A,249.28,0.5079,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Micro-glitch/Listening After Closing.wav,117.19,0.779,F minor,0.519,4A,mid,50.79,3,0.143302,0.407187,0.38962,280.667,1.18273,1541.68,3084.612,0.027364,0.0642,0.9356,48000,2,137,0618B_v1.0.0
Loop Finding II s01,Unknown Artist,122.28,2A,139.56,0.5978,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Micro-glitch/Loop Finding II s01.wav,122.28,0.987,D# minor,0.04,2A,mid,59.78,3,0.12346,0.345105,0.345055,491.333,2.175301,2789.923,5829.788,0.040314,0.1162,1.0,48000,2,181,0618B_v1.0.0
Loop Finding II,Unknown Artist,144.23,3A,124.4,0.7034,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Micro-glitch/Loop Finding II.wav,144.23,1.0,A# minor,0.125,3A,fast,70.34,4,0.124888,0.39646,0.396457,618.0,2.453428,1821.469,3370.289,0.027927,0.0759,1.0,48000,2,218,0618B_v1.0.0
"Loop Finding, Not Remembering s01",Unknown Artist,102.27,2B,146.84,0.5296,"/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Micro-glitch/Loop Finding, Not Remembering s01.wav",102.27,0.978,F# major,0.032,2B,low_mid,52.96,3,0.123071,0.43442,0.434311,444.667,1.371461,1443.117,2438.55,0.020293,0.0601,1.0,48000,2,150,0618B_v1.0.0
"Loop Finding, Not Remembering",Unknown Artist,127.84,2B,121.92,0.5069,"/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Micro-glitch/Loop Finding, Not Remembering.wav",127.84,0.96,F# major,0.396,2B,dance,50.69,3,0.092734,0.444349,0.444336,368.667,1.540647,2898.508,5397.952,0.064561,0.1208,1.0,48000,2,184,0618B_v1.0.0
Loop Room (Night) s01,Unknown Artist,90.73,4B,134.76,0.5844,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Micro-glitch/Loop Room (Night) s01.wav,90.73,1.0,G# major,0.166,4B,low_mid,58.44,3,0.171246,0.451571,0.439581,335.333,1.359865,2030.506,4414.43,0.024652,0.0846,1.0,48000,2,246,0618B_v1.0.0
Loop Room (Night),Unknown Artist,125.0,6A,102.12,0.5953,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Micro-glitch/Loop Room (Night).wav,125.0,0.976,G minor,0.041,6A,dance,59.53,3,0.155385,0.447391,0.446422,359.333,1.283505,1793.305,3614.025,0.021999,0.0747,1.0,48000,2,183,0618B_v1.0.0
